backlog_family,teryt_gmina,bucket,why_no_lead,parcel_count,planning_zones,delta_rows,max_overall_score,known_sources,next_best_source_type,operator_status,covered_via,localities,next_action,sample_url,last_assessment_at,last_source_sync_at
coverage_gap,1816065,manual_backlog,upstream_blocker,7,0,0,,,,,1816065,Budy Głogowskie | Hucisko,"Głogów Małopolski geoportal-krajowy is live and exposes formal MPZP content for the municipality that covers Budy Głogowskie and Hucisko, but the public e-mapa feed remains semantically unsafe and no parcel-safe vector or raster zoning endpoint is confirmed yet; continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1803042,manual_backlog,upstream_blocker,5,0,0,,,,,1803042,Braciejowa,"Dębica geoportal-krajowy is live and exposes formal MPZP content, while the public wykazplanow feed currently returns an operator error page ('Błąd połączenia em_'); continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1803052,manual_backlog,upstream_blocker,3,0,0,,,,,1803052,Jodłowa,"Jodłowa geoportal-krajowy is live and exposes formal plan-ogolny content, while the public wykazplanow feed currently returns an operator error page ('Błąd połączenia em_'); continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1811032,manual_backlog,upstream_blocker,2,0,0,,,,,1811032,Łysaków,"Czermin geoportal-krajowy is live for TERYT 1811032 and exposes formal planning landing/plan-ogolny content, but no parcel-safe vector or raster zoning endpoint is confirmed yet; continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1815012,source_discovered_no_parcel_match,no_source,2,0,0,,,,,1815012,Wiercany,"Iwierzyce public wykazplanow exposes live WMS/GeoTIFF/GML plan assets, but the current active parcels in Wiercany do not intersect any discovered plan bbox yet; keep this in source discovery/backlog rather than treating it as a missing-source gmina.",,,
coverage_gap,1816115,source_discovered_no_parcel_match,no_source,2,0,0,,,,,1816115,Górno | Wólka Niedźwiedzka,"Sokołów Małopolski public wykazplanow exposes many live WMS/GeoTIFF plan assets, but the current active parcels do not intersect any discovered plan bbox yet; keep this in source discovery/backlog rather than treating it as a missing-source gmina.",,,
coverage_gap,1803065,manual_backlog,upstream_blocker,1,0,0,,,,,1803065,Łęki Dolne,"Pilzno geoportal-krajowy is live and exposes formal MPZP/plan-ogolny content for the municipality that covers Łęki Dolne, but no parcel-safe vector or raster zoning endpoint is confirmed yet; continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1804082,manual_backlog,upstream_blocker,1,0,0,,,,,1804082,Duńkowice orazinnych,"Geoportal-krajowy MPZP registry for Gmina Radymno is live and now yields formal binding planning signals, but no parcel-safe geometry endpoint is confirmed yet; continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1805112,manual_backlog,upstream_blocker,1,0,0,,,,,1805112,Dobrucowa,"Formal BIP MPZP and plan-ogolny sources are live for Gmina Tarnowiec / Dobrucowa, but no parcel-safe vector or raster zoning endpoint is confirmed yet; continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1807025,manual_backlog,upstream_blocker,1,0,0,,,,,1807025,Łęki Dukielskie,"Public Dukla planning pages are live and expose formal plan-ogolny content, but the POG geometry path is currently login-gated and no safe public vector or raster zoning endpoint is confirmed yet; continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1807102,manual_backlog,upstream_blocker,1,0,0,,,,,1807102,Szklary,"The active parcel locality resolves to Szklary, while the parcel carries a non-matching TERYT; treat this as a resolver/manual backlog case and verify municipality alignment against the live Hyżne planning sources before promoting coverage.",,,
coverage_gap,1809054,manual_backlog,upstream_blocker,1,0,0,,,,,1809054,Narol,"Narol geoportal-krajowy MPZP registry is live and exposes formal binding plan metadata, but no parcel-safe vector or raster zoning endpoint is confirmed yet; continue geometry/source discovery before promoting coverage.",,,
coverage_gap,1810042,covered_but_no_delta,weak_signal_or_no_delta,4,2184,0,20.0,,,,1810042,Handzlówka,"Planning coverage already exists. This is not a source-discovery gap; check parcel placement, locality quality, or delta thresholds.",,,
coverage_gap,1821035,covered_but_no_delta,weak_signal_or_no_delta,3,910,0,20.0,,,,1821035,Huzele,"Planning coverage already exists. This is not a source-discovery gap; check parcel placement, locality quality, or delta thresholds.",,,
coverage_gap,1805042,covered_but_no_delta,unknown_only,2,60,0,20.0,,,,1805042,Gorajowice,"Planning coverage already exists. This is not a source-discovery gap; check parcel placement, locality quality, or delta thresholds.",,,
coverage_gap,1810011,covered_but_no_delta,weak_signal_or_no_delta,2,312,0,20.0,,,,1810011,Łańcut,"Planning coverage already exists. This is not a source-discovery gap; check parcel placement, locality quality, or delta thresholds.",,,
coverage_gap,1816035,covered_but_no_delta,weak_signal_or_no_delta,2,924,0,20.0,,,,1816035,Wola Zgłobieńska,"Planning coverage already exists. This is not a source-discovery gap; check parcel placement, locality quality, or delta thresholds.",,,
coverage_gap,1816145,covered_but_no_buildable_delta,weak_signal_or_no_delta,7,8,8,78.0,,,,1816145,Borek Stary,"Planning coverage and delta intersections exist, but none became a buildable lead. Review land-use classes and business thresholds.",,,
coverage_gap,1808042,covered_but_no_buildable_delta,weak_signal_or_no_delta,3,1,3,30.0,,,,1808042,Giedl | Giedlarowa,"Planning coverage and delta intersections exist, but none became a buildable lead. Review land-use classes and business thresholds.",,,
coverage_gap,1816072,covered_but_no_buildable_delta,weak_signal_or_no_delta,3,3,3,20.0,,,,1816072,Grzegorzówka | Szklary,"Planning coverage and delta intersections exist, but none became a buildable lead. Review land-use classes and business thresholds.",,,
future_signal,1804082,needs_geometry_source,,1,,,30.0,html_index,studium_or_pog_geometry,needs_geometry_source,,,,,2026-04-16T16:18:42+00:00,2026-04-16T11:25:30+00:00
future_signal,1809054,needs_geometry_source,,1,,,30.0,html_index,studium_or_pog_geometry,needs_geometry_source,,,,,2026-04-16T16:18:46+00:00,2026-04-16T15:43:56+00:00
future_signal,1805042,needs_geometry_source,,1,,,20.0,html_index,studium_or_pog_geometry,needs_geometry_source,,,,,2026-04-16T16:18:42+00:00,2026-04-16T11:12:30+00:00
